no_constraint, constraint, which
-7.001386642456055, -0.7477967739105225, unconstrained
-7.0044941902160645, -0.7491589784622192, unconstrained
-7.009431838989258, -0.7501730918884277, unconstrained
-7.004733562469482, -0.7485866546630859, unconstrained
-7.002935409545898, -0.7463259696960449, unconstrained
-10.841561317443848, -5.561182975769043, unconstrained
-7.003982067108154, -0.7444214820861816, unconstrained
-9.165002822875977, -3.9307925701141357, unconstrained
-10.835407257080078, -5.630099296569824, unconstrained
-7.007907390594482, -0.7490459680557251, unconstrained
-7.006697177886963, -0.7485486268997192, unconstrained
-7.002306938171387, -0.7467484474182129, unconstrained
-10.812349319458008, -5.563363552093506, unconstrained
-7.005748748779297, -0.7450498342514038, unconstrained
-7.00173807144165, -0.7508806586265564, unconstrained
-10.5488920211792, -4.025496482849121, unconstrained
-24.57732391357422, -16.45978355407715, unconstrained
-7.002665996551514, -0.7512955069541931, unconstrained
-10.591537475585938, -5.448906421661377, unconstrained
-10.172785758972168, -4.6495256423950195, unconstrained
-7.001804828643799, -0.7490606307983398, unconstrained
-7.0040364265441895, -0.7450723052024841, unconstrained
-10.245306968688965, -4.931760787963867, unconstrained
-7.003310203552246, -0.7514673471450806, unconstrained
-7.002570152282715, -0.7461538314819336, unconstrained
-7.006201267242432, -0.747298002243042, unconstrained
-7.003841400146484, -0.7462542653083801, unconstrained
-7.003769397735596, -0.7488613128662109, unconstrained
-7.00457763671875, -0.7492485046386719, unconstrained
-10.254072189331055, -4.938729763031006, unconstrained
-7.003826141357422, -0.7410411834716797, unconstrained
-7.002500057220459, -0.7528316378593445, unconstrained
-7.003786087036133, -0.7467257976531982, unconstrained
-7.002580642700195, -0.7462905049324036, unconstrained
-10.551496505737305, -4.023695945739746, unconstrained
-7.005295753479004, -0.746307909488678, unconstrained
-10.715209007263184, -4.880416393280029, unconstrained
-7.004990100860596, -0.7524605393409729, unconstrained
-7.00134801864624, -0.7501448392868042, unconstrained
-9.179801940917969, -3.9327054023742676, unconstrained
-13.545903205871582, -8.939231872558594, unconstrained
-7.002995491027832, -0.7532922029495239, unconstrained
-18.84665298461914, -8.907624244689941, unconstrained
-16.27645492553711, -8.763927459716797, unconstrained
-19.64232635498047, -11.81305980682373, unconstrained
-7.005813121795654, -0.7481430172920227, unconstrained
-11.71449089050293, -4.6675848960876465, unconstrained
-7.0039520263671875, -0.7516970038414001, unconstrained
-13.088323593139648, -8.30290412902832, unconstrained
-7.0044169425964355, -0.7523946166038513, unconstrained
-13.062786102294922, -7.0677809715271, unconstrained
-20.088367462158203, -9.9583101272583, unconstrained
-7.002830982208252, -0.7500222325325012, unconstrained
-12.641647338867188, -6.39781379699707, unconstrained
-10.911187171936035, -6.525993347167969, unconstrained
-22.375385284423828, -13.698598861694336, unconstrained
-19.501155853271484, -9.967507362365723, unconstrained
-7.004180908203125, -0.7480593323707581, unconstrained
-11.74591064453125, -6.428029537200928, unconstrained
-15.792163848876953, -8.146513938903809, unconstrained
-25.164501190185547, -11.457772254943848, unconstrained
-12.958974838256836, -7.951022148132324, unconstrained
-10.53957462310791, -4.022284984588623, unconstrained
-10.547524452209473, -4.022184371948242, unconstrained
-25.716995239257812, -10.391392707824707, unconstrained
-16.977087020874023, -12.113268852233887, unconstrained
-7.001533508300781, -0.7497989535331726, unconstrained
-12.145050048828125, -6.163895606994629, unconstrained
-19.084678649902344, -12.487406730651855, unconstrained
-10.673043251037598, -5.14801549911499, unconstrained
-19.99588966369629, -13.446686744689941, unconstrained
-10.547859191894531, -4.024994373321533, unconstrained
-17.361286163330078, -9.72559928894043, unconstrained
-10.936406135559082, -6.499974250793457, unconstrained
-28.70855140686035, -10.2717866897583, unconstrained
-9.176675796508789, -3.9328536987304688, unconstrained
-7.005735397338867, -0.7482665777206421, unconstrained
-13.831390380859375, -7.687341690063477, unconstrained
-16.27698516845703, -10.786861419677734, unconstrained
-7.002007007598877, -0.751450777053833, unconstrained
-7.008049488067627, -0.7493157386779785, unconstrained
-14.420923233032227, -8.231032371520996, unconstrained
-14.267546653747559, -6.769365310668945, unconstrained
-14.625597953796387, -8.213667869567871, unconstrained
-16.6781063079834, -10.740569114685059, unconstrained
-7.003462791442871, -0.750847339630127, unconstrained
-18.03541374206543, -10.756004333496094, unconstrained
-15.799510955810547, -9.808568954467773, unconstrained
-7.00670051574707, -0.7470165491104126, unconstrained
-12.403177261352539, -7.394744873046875, unconstrained
-12.109312057495117, -7.845348358154297, unconstrained
-15.32946491241455, -10.282617568969727, unconstrained
-19.591777801513672, -11.4435453414917, unconstrained
-6.999767303466797, -0.745305061340332, unconstrained
-12.624786376953125, -7.542802333831787, unconstrained
-7.003571033477783, -0.7487071752548218, unconstrained
-10.837142944335938, -5.560949802398682, unconstrained
-7.0019850730896, -0.7503567337989807, unconstrained
-13.82419204711914, -7.891680717468262, unconstrained
-7.000164031982422, -0.7503185272216797, unconstrained
-7.003991603851318, -0.7443611025810242, unconstrained
-7.004635810852051, -0.755901575088501, unconstrained
-23.37789535522461, -16.054553985595703, unconstrained
-15.139708518981934, -7.102104187011719, unconstrained
-25.525087356567383, -8.340398788452148, unconstrained
-14.397679328918457, -9.58509635925293, unconstrained
-11.89566421508789, -7.390598773956299, unconstrained
-12.142738342285156, -5.561410903930664, unconstrained
-16.111684799194336, -9.22541332244873, unconstrained
-7.004086017608643, -0.7497158050537109, unconstrained
-18.973400115966797, -11.253382682800293, unconstrained
-7.003127098083496, -0.7455949187278748, unconstrained
-11.625208854675293, -6.208527565002441, unconstrained
-7.004795551300049, -0.7486869692802429, unconstrained
-7.005488395690918, -0.7446184754371643, unconstrained
-7.00706672668457, -0.7505676746368408, unconstrained
-7.004627704620361, -0.7500373125076294, unconstrained
-24.8216609954834, -8.754890441894531, unconstrained
-7.010352611541748, -0.7498590350151062, unconstrained
-14.812175750732422, -8.519668579101562, unconstrained
-7.004330635070801, -0.7468283772468567, unconstrained
-7.004629135131836, -0.7434688806533813, unconstrained
-7.005977630615234, -0.7476330995559692, unconstrained
-7.005712509155273, -0.7500926852226257, unconstrained
-7.002946376800537, -0.7481629848480225, unconstrained
-13.009227752685547, -6.858274459838867, unconstrained
-9.181127548217773, -3.9338715076446533, unconstrained
-18.937305450439453, -7.297571182250977, unconstrained
-7.0064697265625, -0.7493444681167603, unconstrained
-10.824831008911133, -5.5659284591674805, unconstrained
-10.751220703125, -6.165999889373779, unconstrained
-7.005198955535889, -0.7446231842041016, unconstrained
-12.129737854003906, -5.557860374450684, unconstrained
-9.181187629699707, -3.9304776191711426, unconstrained
-18.33575439453125, -10.81223201751709, unconstrained
-7.005285263061523, -0.7459871768951416, unconstrained
-13.306838989257812, -7.436969757080078, unconstrained
-7.003941059112549, -0.7523460388183594, unconstrained
-7.006974697113037, -0.7465387582778931, unconstrained
-7.004049777984619, -0.7509258985519409, unconstrained
-19.013031005859375, -11.748570442199707, unconstrained
-10.171243667602539, -4.650079250335693, unconstrained
-7.001700401306152, -0.7473553419113159, unconstrained
-7.005261421203613, -0.7518246173858643, unconstrained
-12.542440414428711, -5.8557820320129395, unconstrained
-10.719634056091309, -4.880031585693359, unconstrained
-7.003659725189209, -0.750370979309082, unconstrained
-7.004006385803223, -0.7468267679214478, unconstrained
-7.007110595703125, -0.7505793571472168, unconstrained
-7.006791591644287, -0.7428796291351318, unconstrained
-16.519847869873047, -10.90820598602295, unconstrained
-7.006906032562256, -0.7469133138656616, unconstrained
-7.0075907707214355, -0.7492012977600098, unconstrained
-6.995402812957764, -0.7493122816085815, unconstrained
-11.71485710144043, -4.659552574157715, unconstrained
-7.004459381103516, -0.7535883784294128, unconstrained
-7.00349235534668, -0.7495555877685547, unconstrained
-16.92096710205078, -9.478150367736816, unconstrained
-15.607410430908203, -10.05256462097168, unconstrained
-7.003392219543457, -0.7486637830734253, unconstrained
